ranking,World Rank,University,Det.,Impact Rank*,Openness Rank*,Excellence Rank*
1,12942,(3) Université de Monastir Faculté des Sciences de Monastir,,19353,2686,7504
2,11781,(3) Université de Tunis el Manar Faculté des Sciences Mathématiques Physiques et Naturelles de Tunis,,16886,3756,7504
3,3233,Institution de la Recherche et de l'Enseignement Supérieur Agricoles,,7830,3828,2795
4,13596,(3) Université de Sfax Faculté des Sciences de Sfax,,18806,4298,7504
5,3912,(3) Université de Tunis el Manar Ecole Nationale d'Ingénieurs de Tunis,,13153,4489,2543
6,15270,(3) Université de Monastir École Nationale d'Ingénieurs de Monastir,,20435,4687,7504
7,4747,(3) Université de Carthage Faculté des Sciences de Bizerte,,18242,4820,2829
8,4830,(3) Université de Tunis Institut Supérieur de Gestion de Tunis,,15556,5366,3550
9,5165,(3) Université de Carthage Institut National des Sciences Appliquées et de la Technologie,,17366,5564,3828
10,14467,(3) Université de Sfax Faculté des Sciences Économiques et de Gestion de Sfax,,18738,5566,7504
11,6565,ESPRIT,,14257,6375,6142
12,18085,(3) Université de Gabès Faculté des Sciences de Gabès,,21793,6545,7504
13,16531,(3) Université de Tunis Ecole Supérieure des Sciences et Techniques de Tunis,,19868,6795,7504
14,13321,(3) Université de Sfax École Nationale d'Ingénieurs de Sfax,,15511,7081,7504
15,5727,(3) Université de Carthage Ecole Polytechnique de Tunisie,,19071,7897,3787
16,6204,(3) Université de Gabès École Nationale d'Ingénieur de Gabès,,22055,8087,3633
17,16291,(3) Université de la Manouba Ecole Nationale des Sciences de l'informatique,,17540,8119,7504
18,5618,Université de Jendouba,,16886,8889,3274
19,25220,Institut Supérieur des Etudes Technologiques ISET Gafsa,,24854,8889,7504
20,5266,Universite de Sousse,,21922,8889,1470
21,13256,Université Ezzitouna,,16945,8889,6966
22,3529,Université de Monastir,,10680,8889,1094
23,29775,(1) Université Privée du Sud,,29649,8889,7504
24,24037,Institut Supérieur des Etudes Technologiques ISET Nabeul,,23577,8889,7504
25,12433,Université Virtuelle de Tunis,,9832,8889,7504
26,19648,(3) Université de Carthage Ecole Supérieure des Industries Alimentaires de Tunis,,18659,8889,7504
27,28642,Institut Supérieur des Sciences Appliquées et de Technologies de Gafsa ISSATGF,,28479,8889,7504
28,24864,École Supérieur des Etudes Administrative et Commerciales à Sfax (Université Internationale de Management des Affaires à Sfax),,24478,8889,7504
29,22909,Université Ibn Khaldoun Faculty of Law Economics and Management,,22338,8889,7504
30,19141,Institut des Régions Arides de Médenine,,18091,8889,7504
31,5793,Université de Gafsa,,16886,8889,3633
32,22769,(3) Université de Monastir Institut Supérieur d'Informatique et de Mathématiques de Monastir,,22188,8889,7504
33,11173,Université Tunis Carthage,,18010,8889,6509
34,4837,Université de Gabes,,15664,8889,2029
35,6334,Université de Kairouan,,18580,8889,4040
36,3167,Université de Tunis El Manar,,8844,8889,985
37,19347,Institut des Hautes Etudes à Tunis,,18331,8889,7504
38,13618,Université Centrale,,11338,8889,7504
39,4430,Université de Tunis,,11212,8889,2225
40,19784,(3) Université de la Manouba Ecole Supérieure de Commerce de Tunis,,18806,8889,7504
41,20260,(3) Université de Sousse Ecole Nationale d’Ingénieurs de Sousse,,19353,8889,7504
42,20328,(3) Université de Tunis Faculté des Sciences Humaines et Sociales de Tunis,,19435,8889,7504
43,20493,(3) Université de Tunis el Manar Faculté de Médecine de Tunis,,19611,8889,7504
44,20823,Université SESAME,,19971,8889,7504
45,20896,(3) Université de Sfax Institut Supérieur d'Informatique et de Multimédia de Sfax,,20056,8889,7504
46,21215,(3) Université de Sousse Institut Supérieur des Sciences Appliquées et de Technologie de Sousse,,20435,8889,7504
47,21215,Avicenne Private School of Business Administration and Law Tunis,,20435,8889,7504
48,21308,Polytechnique internationale,,20542,8889,7504
49,21492,(3) Université de Sousse Institut Supérieur de Gestion de Sousse,,20749,8889,7504
50,21775,EPI Sousse,,21080,8889,7504
51,21876,(3) Université de la Manouba Institut Supérieur de Documentation de Tunis,,21201,8889,7504
52,21876,(3) Université de Sfax Faculté des Lettres et Sciences Humaines de Sfax,,21201,8889,7504
53,21876,Université Méditerranéenne Tunis,,21201,8889,7504
54,21972,Institut Supérieur des Etudes Technologiques ISET Radès,,21313,8889,7504
55,21972,(3) Université de Tunis el Manar Faculté des Sciences Economiques et de Gestion de Tunis,,21313,8889,7504
56,21972,Dauphine Université Paris Tunis,,21313,8889,7504
57,22088,(3) Université de Carthage Faculté des Sciences Juridiques Politiques et Sociales de Tunis,,21438,8889,7504
58,22203,École Supérieure d'Aéronautique et des Technologies,,21575,8889,7504
59,22302,(3) Université de Carthage Institut supérieur des sciences appliquées et de technologie de Mateur,,24854,8889,7189
60,22312,(3) Université de la Manouba Institut Supérieur des Arts du Multimédia de la Manouba,,21690,8889,7504
61,22653,(3) Université de Tunis Ecole Normale Supérieure,,22055,8889,7504
62,22653,Institut Supérieur des Etudes Technologiques ISET Jerba,,22055,8889,7504
63,22769,(3) Université de la Manouba Ecole Supérieure des Sciences et Technologies du Design,,22188,8889,7504
64,22769,(3) Université de Sfax Faculté de droit de Sfax,,22188,8889,7504
65,22909,(3) Université de la Manouba Institut Supérieur de Biotechnologie de Sidi Thabet,,22338,8889,7504
66,23022,(3) Université de Monastir Institut Supérieur de Biotechnologie de Monastir,,22469,8889,7504
67,23162,Université Mahmoud el Materi Université Privée des Sciences Paramédicales en Tunisie,,22628,8889,7504
68,23321,Institut Supérieur des Etudes Technologiques ISET Tataouine,,22801,8889,7504
69,23469,(3) Université de Sfax Institut des Hautes Études Commerciales de Sfax,,22961,8889,7504
70,23469,(3) Université de Tunis el Manar Faculté de Droit et des Sciences Politiques de Tunis,,22961,8889,7504
71,23469,Ecole Polytechnique Sousse,,22961,8889,7504
72,23469,École Supérieure d'Audiovisuel et de Design Tunis ESAD,,22961,8889,7504
73,23469,IT Business School,,22961,8889,7504
74,23596,(3) Université de la Manouba Institut Supérieur du Sport et de l'Education Physique de Ksar Saïd,,23105,8889,7504
75,23596,(3) Université de Sfax Institut Supérieur d'Administration des Affaires de Sfax,,23105,8889,7504
76,23725,Military Academy of Tunisia,,29941,8889,6313
77,23884,Institut Supérieur des Etudes Technologiques ISET Jendouba,,23419,8889,7504
78,24037,(3) Université de Carthage Institut National du Travail et des Etudes Sociales,,23577,8889,7504
